"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123","בדיקת גלילה בדף המוצרים","tests","Sun Mar 22 06:29:15 UTC 2026","passed","Sun Mar 22 06:29:16 UTC 2026","TestInventory","test_choose_from_list","",""
"","2130","מיון מהמחיר הגבוה לנמוך","tests","Sun Mar 22 06:29:18 UTC 2026","passed","Sun Mar 22 06:29:20 UTC 2026","TestInventory","test_choose_from_list","",""
"","4215","הוספה ומחיקה של מוצר מהעגלה","tests","Sun Mar 22 06:29:05 UTC 2026","passed","Sun Mar 22 06:29:09 UTC 2026","TestInventory","test_choose_from_list","",""
"","2142","מיון מהמחיר הנמוך לגבוה","tests","Sun Mar 22 06:29:16 UTC 2026","passed","Sun Mar 22 06:29:18 UTC 2026","TestInventory","test_choose_from_list","",""
"טסט זה מוודא את הליבה של האתר: כניסת משתמש, בחירת מוצר ספציפי ווידוא שהמוצר מופיע בעגלת הקניות","2247","בדיקת זרימה מלאה: התחברות, הוספה לסל ומעבר לעגלה","tests","Sun Mar 22 06:28:59 UTC 2026","passed","Sun Mar 22 06:29:02 UTC 2026","TestE2E","test_E2E","",""
"","6236","בדיקת הוספת 3 מוצרים שונים לעגלה","tests","Sun Mar 22 06:29:09 UTC 2026","passed","Sun Mar 22 06:29:15 UTC 2026","TestInventory","test_choose_from_list","",""
"טסט זה בודק שהמשתמש יכול להתנתק דרך התפריט הצדדי ושנמנעת ממנו גישה לדף המלאי לאחר מכן","1064","בדיקת יציאה מהמערכת וחזרה לדף הלוגין","tests","Sun Mar 22 06:29:24 UTC 2026","passed","Sun Mar 22 06:29:25 UTC 2026","TestLogout","test_logout","",""
"","163","בדיקת API - שליפת פוסטים","tests","Sun Mar 22 06:29:02 UTC 2026","passed","Sun Mar 22 06:29:02 UTC 2026","TestAPI","test_api","",""
"","2228","בדיקת כפתור המשך קניות מהעגלה","tests","Sun Mar 22 06:29:25 UTC 2026","passed","Sun Mar 22 06:29:27 UTC 2026","TestSauceUI","test_ui","",""
"","2180","בדיקת הוספת מעיל (Fleece Jacket) לעגלה","tests","Sun Mar 22 06:29:02 UTC 2026","passed","Sun Mar 22 06:29:04 UTC 2026","TestInventory","test_choose_from_list","",""
"התחברות לאתר עם יוזר תקין מקובץ קונפיג","128","בדיקת התחברות לאתר","tests","Sun Mar 22 06:29:23 UTC 2026","passed","Sun Mar 22 06:29:23 UTC 2026","TestLogin","test_login","",""
"לוודא שהעגלה ריקה לאחר התחברות לאתר","170","בדיקת עגלה ריקה לאחר לוגין","tests","Sun Mar 22 06:29:25 UTC 2026","passed","Sun Mar 22 06:29:25 UTC 2026","TestSauceUI","test_ui","",""
"","39","בדיקת API - יצירת פוסט חדש (POST)","tests","Sun Mar 22 06:29:02 UTC 2026","passed","Sun Mar 22 06:29:02 UTC 2026","TestAPI","test_api","",""
"","2138","מיון אלפביתי הפוך (Z to A)","tests","Sun Mar 22 06:29:20 UTC 2026","passed","Sun Mar 22 06:29:23 UTC 2026","TestInventory","test_choose_from_list","",""
"בדיקה שלילית - הזנת פרטים שגויים ואימות הודעת שגיאה","102","בדיקה שלילית: אימות הודעת שגיאה בהתחברות","tests","Sun Mar 22 06:29:23 UTC 2026","passed","Sun Mar 22 06:29:23 UTC 2026","TestLogin","test_login","",""
